,Location,Province,Railway,Protection,Trains Daily,Count,Train Max Speed (mph),Road Max Speed (km/h),Vehicles Daily,Protection_en,Province_en,Railway_en
0,10997,SK,LCR,Passive,0.01,0.0,10.0,50.0,2.0,3,9,43
1,11138,SK,CN,Passive,4.06,0.0,30.0,50.0,50.0,3,9,18
2,11167,SK,STRCO,Passive,2.0,0.0,10.0,80.0,2.0,3,9,65
3,11176,SK,GWR,Passive,1.0,0.0,35.0,50.0,10.0,3,9,33
4,11178,SK,GWR,Passive,1.0,0.0,35.0,50.0,25.0,3,9,33
5,11213,SK,GWR,Passive,1.0,0.0,35.0,50.0,15.0,3,9,33
6,11241,SK,SSR,Passive,0.19,0.0,30.0,20.0,30.0,3,9,64
7,11273,SK,Westcan,Passive,2.0,0.0,20.0,50.0,10.0,3,9,76
8,11423,SK,CN,Passive,1.1,0.0,25.0,80.0,1.0,3,9,18
9,11498,SK,STRCO,Passive,3.0,0.0,30.0,50.0,50.0,3,9,65
10,11501,SK,STRCO,Passive,3.0,0.0,30.0,50.0,50.0,3,9,65
11,11518,SK,CP,Passive,22.0,0.0,60.0,80.0,30.0,3,9,19
12,11552,SK,GWR,Passive,1.0,0.0,30.0,20.0,10.0,3,9,33
13,11627,SK,CN,Passive,1.2,0.0,25.0,50.0,25.0,3,9,18
14,11659,SK,CN,Passive,1.2,0.0,25.0,50.0,20.0,3,9,18
15,11699,SK,CN,Passive,1.2,0.0,25.0,20.0,5.0,3,9,18
16,11839,SK,CN,Passive,4.06,0.0,40.0,80.0,50.0,3,9,18
17,11849,SK,CN,Passive,1.1,0.0,25.0,80.0,20.0,3,9,18
18,11904,SK,Westcan,Passive,1.0,0.0,30.0,80.0,1.0,3,9,76
19,11970,SK,Westcan,Passive,2.0,0.0,35.0,50.0,30.0,3,9,76
20,11973,SK,CN,Passive,1.2,0.0,25.0,80.0,50.0,3,9,18
21,12217,SK,CN,Passive,1.2,0.0,25.0,80.0,5.0,3,9,18
22,12269,SK,CP,Passive,2.0,0.0,30.0,20.0,2.0,3,9,19
23,12304,SK,Westcan,Passive,2.0,0.0,25.0,50.0,50.0,3,9,76
