,TC Number,Trains Daily,Vehicles Daily,Train Max Speed (mph),Road Max Speed (km/h),Lanes,Tracks,OccDate,SUBD_OWNER_ABBREV_ENG
0,35698,4.0,1000.0,15.0,50.0,2.0,1.0,3/8/2023 9:30:00 PM,CN
1,9076,18.0,225.0,60.0,80.0,2.0,1.0,3/2/2023 8:31:00 AM,CN
3,32783,3.0,3769.0,35.0,80.0,2.0,1.0,2/26/2023 10:40:00 PM,CN
4,1801,1.0,25.0,40.0,80.0,2.0,1.0,2/26/2023 12:45:00 PM,CN
5,18235,3.0,106.0,45.0,80.0,2.0,1.0,2/22/2023 8:36:00 AM,CP
6,35275,11.86,100.0,35.0,30.0,2.0,1.0,2/25/2023 8:30:00 PM,CN
7,18082,2.0,20500.0,10.0,100.0,2.0,1.0,2/22/2023 11:08:00 PM,CP
8,21562,4.0,1340.0,40.0,100.0,2.0,1.0,2/20/2023 11:40:00 AM,CP
9,32674,4.0,1500.0,25.0,50.0,2.0,1.0,2/20/2023 10:40:00 AM,CSX
10,32811,3.0,3504.0,35.0,50.0,4.0,1.0,2/13/2023 9:45:00 AM,CN
11,48549,4.0,50.0,40.0,50.0,2.0,1.0,2/12/2023 1:30:00 AM,CN
12,13255,27.86,50.0,60.0,90.0,2.0,1.0,2/5/2023 6:05:00 PM,CN
13,721,24.0,519.0,40.0,50.0,2.0,1.0,1/31/2023 7:30:00 PM,CN
15,45711,40.0,10.0,65.0,25.0,1.0,2.0,2/1/2023 4:05:00 PM,CN
16,851,21.0,200.0,55.0,50.0,2.0,2.0,1/29/2023 3:55:00 AM,CN
17,20514,4.0,1200.0,40.0,40.0,2.0,2.0,1/27/2023 8:00:00 PM,ROV
18,42685,8.0,40.0,,20.0,1.0,1.0,1/28/2023 8:30:00 PM,CN
19,200714,,,,,,,1/27/2023 6:03:00 PM,CN
20,22225,11.0,7000.0,35.0,50.0,2.0,1.0,1/25/2023 8:31:00 PM,CP
21,13189,27.86,25.0,60.0,90.0,2.0,1.0,1/25/2023 11:33:00 AM,CN
22,610116,2.0,25.0,20.0,80.0,2.0,1.0,1/23/2023 1:55:00 PM,CN
24,14496,11.86,2502.0,40.0,40.0,2.0,1.0,1/19/2023 10:16:00 AM,CN
25,19455,5.0,624.0,40.0,30.0,2.0,1.0,1/20/2023 6:53:00 PM,CP
27,2342,20.86,50.0,45.0,50.0,2.0,1.0,1/19/2023 3:21:00 PM,CN
28,30833,8.0,1000.0,60.0,80.0,2.0,2.0,1/22/2023 5:29:00 PM,CP
29,300964,46.0,100.0,10.0,80.0,2.0,2.0,1/21/2023 7:08:00 AM,CP
31,1931,11.86,10.0,30.0,30.0,2.0,1.0,1/18/2023 6:10:00 AM,CN
32,600488,17.0,2252.0,55.0,100.0,2.0,1.0,1/17/2023 6:00:00 AM,CP
